order_id,customer_id,order_date,status,total_amount,region
1,1,2024-02-29,Delivered,68.0,Northeast
2,1,2024-02-28,Delivered,924.0,Northeast
3,2,2024-03-10,Delivered,1576.0,Northeast
4,3,2024-02-10,Delivered,792.0,West
5,3,2024-11-17,Delivered,754.0,West
6,3,2025-04-14,Delivered,687.0,West
7,3,2024-08-06,Delivered,218.0,West
8,3,2025-01-13,Delivered,1195.0,West
9,4,2025-07-21,Delivered,89.0,Pacific Northwest
10,4,2024-09-27,Delivered,102.0,Pacific Northwest
11,4,2024-06-08,Delivered,421.0,Pacific Northwest
12,4,2024-09-27,Delivered,1324.0,Pacific Northwest
13,4,2024-10-10,Delivered,474.0,Pacific Northwest
14,4,2025-03-28,Delivered,1522.0,Pacific Northwest
15,5,2025-07-19,Delivered,837.0,West
16,5,2025-01-01,Delivered,805.0,West
17,5,2025-02-20,Cancelled,278.0,West
18,6,2024-01-26,Delivered,1643.0,Southeast
19,6,2024-09-30,Delivered,449.0,Southeast
20,6,2025-04-26,Delivered,664.0,Southeast
21,6,2025-02-12,Delivered,138.0,Southeast
22,7,2025-06-05,Delivered,1314.0,Southeast
23,7,2024-02-09,Delivered,656.0,Southeast
24,7,2025-01-29,Delayed,1115.0,Southeast
25,8,2025-06-16,Delayed,1476.0,West
26,9,2024-11-17,Delivered,68.0,Midwest
27,9,2025-06-03,Delivered,1148.0,Midwest
28,9,2025-01-23,Delivered,256.0,Midwest
29,10,2024-01-01,Delivered,1554.0,Northeast
30,10,2024-11-25,Delivered,862.0,Northeast
31,10,2024-10-17,Delivered,904.0,Northeast
32,10,2024-08-18,Processing,527.0,Northeast
33,10,2024-03-15,Delivered,246.0,Northeast
34,11,2024-09-06,Delivered,89.0,Midwest
35,11,2025-03-11,Delivered,1902.0,Midwest
36,11,2025-06-27,Cancelled,522.0,Midwest
37,11,2025-07-15,Delivered,426.0,Midwest
38,12,2024-09-10,Processing,544.0,Pacific Northwest
39,12,2024-10-08,Delivered,924.0,Pacific Northwest
40,12,2024-05-21,Delivered,908.0,Pacific Northwest
41,13,2025-04-22,Delivered,1705.0,Midwest
42,13,2024-01-21,Processing,1660.0,Midwest
43,13,2025-07-13,Shipped,536.0,Midwest
44,13,2025-05-12,Delivered,454.0,Midwest
45,13,2025-04-23,Delayed,178.0,Midwest
46,14,2025-07-31,Delivered,118.0,West
47,14,2024-05-18,Processing,976.0,West
48,14,2024-08-04,Delivered,1175.0,West
49,14,2025-04-26,Delivered,129.0,West
50,14,2024-03-11,Shipped,69.0,West
51,15,2024-07-23,Processing,855.0,Southeast
52,15,2024-04-27,Delivered,226.0,Southeast
53,16,2024-04-27,Shipped,646.0,Northeast
54,16,2024-11-15,Delivered,2245.0,Northeast
55,17,2024-11-04,Processing,207.0,Southeast
56,18,2024-12-21,Delivered,715.0,Southeast
57,19,2024-04-18,Delivered,514.0,Southeast
58,19,2024-06-29,Shipped,494.0,Southeast
59,19,2024-10-01,Delivered,816.0,Southeast
60,19,2024-09-06,Shipped,1084.0,Southeast
61,20,2024-12-14,Delivered,577.0,Midwest
62,20,2025-02-20,Delivered,339.0,Midwest
63,20,2025-05-17,Delivered,458.0,Midwest
64,21,2025-02-18,Delivered,622.0,Southeast
65,21,2024-12-18,Delivered,484.0,Southeast
66,22,2024-05-03,Shipped,860.0,Southeast
67,22,2024-08-09,Shipped,357.0,Southeast
68,23,2024-07-17,Delivered,1243.0,Pacific Northwest
69,24,2024-02-16,Cancelled,286.0,West
